LAT,LONG
28.735675,77.156944
28.735681,77.156973
28.73655,77.159002
28.73726,77.16066
28.73727,77.16069
28.737612,77.161594
28.737765,77.163198
28.737775,77.16414
28.737779,77.165555
28.737555,77.167449
28.736905,77.170204
28.7359,77.172837
28.734699,77.176142
28.733494,77.179405
28.732705,77.18227
28.732185,77.184576
28.731402,77.187354
28.73093,77.189489
28.730004,77.192927
28.728835,77.198102
28.730023,77.198374
28.730861,77.198372
28.732733,77.198044
28.734064,77.197747
28.734274,77.197696
28.735599,77.197342
28.735768,77.197063
28.73599,77.196876
28.73625,77.196652
28.736514,77.196467
28.736823,77.196242
28.736992,77.196132
28.737226,77.195948
28.737231,77.195947
28.737367,77.195779
28.737573,77.195578
28.73794,77.195011
28.738527,77.194365
28.738594,77.194209
28.739003,77.193923
28.739706,77.193386
28.740382,77.192835
28.74122,77.19226
28.741812,77.191886
28.742117,77.191673
28.742422,77.191517
28.742738,77.191335
28.743042,77.191139
28.743358,77.190971
28.743907,77.19064
28.744397,77.190436
28.745759,77.189816
28.74587,77.189768
28.746095,77.189675
28.746938,77.189381
28.74773,77.189103
28.747894,77.189037
28.749027,77.188645
28.749524,77.188479
28.749731,77.188454
28.749818,77.188599
28.750178,77.188401
28.75025,77.188303
28.751151,77.188005
28.751537,77.187875
28.751901,77.187764
28.751915,77.187761
28.751926,77.187759
28.752217,77.187664
28.752655,77.187603
28.752771,77.187557
28.752979,77.187481
28.753317,77.187375
28.753771,77.187205
28.754498,77.187013
28.754934,77.186926
28.755441,77.186784
28.756882,77.186437
28.758313,77.186127
28.758355,77.18604
28.758195,77.184699
28.758112,77.183326
28.758063,77.182445
28.757943,77.181515
28.75785,77.181067
28.757811,77.180802
28.757751,77.180186
28.757691,77.179452
28.757666,77.177402
28.757648,77.175601
28.757562,77.175023
28.757388,77.174303
28.757167,77.173233
28.756824,77.171608
28.756532,77.171032
28.756311,77.170258
28.756247,77.169276
28.756158,77.168511
28.756091,77.168024
28.756,77.166002
28.756004,77.164252
28.756018,77.163705
28.755863,77.162767
28.755759,77.162295
28.755459,77.161616
28.755121,77.160539
28.754949,77.159605
28.754804,77.15882
28.754631,77.157872
28.754433,77.157124
28.754229,77.156542
28.753984,77.155895
28.753678,77.155173
28.753504,77.15464
28.753255,77.153946
28.752942,77.152949
28.752738,77.1523
28.75252,77.151599
28.75236,77.150955
28.752115,77.14995
28.750893,77.150362
28.749867,77.150701
28.74826,77.15123
28.747,77.151643
28.745864,77.152013
28.745123,77.152268
28.744263,77.152516
28.743539,77.152754
28.743004,77.152926
28.742287,77.153165
28.741004,77.153589
28.740999,77.15359
28.740148,77.153861
28.739144,77.154208
28.738147,77.15444
28.73756,77.154515
28.737198,77.15458
28.736813,77.154686
28.736497,77.154815
28.736086,77.155094
28.735723,77.155369
28.73543,77.155594
28.735219,77.155729
28.735162,77.155767
28.734888,77.155953
28.734972,77.156133
