LAT,LONG
28.764549,77.107881
28.765709,77.108626
28.767506,77.10953
28.768399,77.110013
28.773396,77.112009
28.772388,77.115144
28.771935,77.116597
28.771887,77.116873
28.771907,77.117379
28.771963,77.11775
28.772202,77.118422
28.772375,77.119044
28.77248,77.119395
28.772596,77.119763
28.772656,77.120031
28.772714,77.120326
28.772651,77.120612
28.772564,77.121056
28.772337,77.121554
28.772052,77.121934
28.771597,77.122703
28.771244,77.123257
28.770888,77.123856
28.770457,77.124424
28.770094,77.124902
28.770058,77.125307
28.77063,77.128471
28.770758,77.130571
28.770848,77.132003
28.770947,77.133305
28.771721,77.135576
28.771605,77.136779
28.77158,77.137733
28.771736,77.13863
28.771898,77.13981
28.771866,77.14141
28.771865,77.143537
28.767672,77.144701
28.763706,77.146035
28.760947,77.146957
28.758463,77.147967
28.752844,77.1496
28.752128,77.149931
28.746864,77.151657
28.741191,77.153399
28.739122,77.154042
28.738883,77.154082
28.738272,77.154236
28.737636,77.154421
28.736685,77.154697
28.736507,77.154783
28.736316,77.154904
28.73629,77.154919
28.736285,77.154926
28.736136,77.155043
28.736115,77.155051
28.736094,77.155065
28.735869,77.155233
28.735849,77.155246
28.735839,77.155253
28.735602,77.155425
28.735286,77.155658
28.735282,77.155658
28.735075,77.155768
28.734918,77.15586
28.734801,77.155891
28.73467,77.155603
28.734658,77.155588
28.734259,77.154798
28.734026,77.154502
28.733346,77.153383
28.732701,77.152504
28.732427,77.151992
28.732276,77.151827
28.731696,77.150891
28.730832,77.149559
28.729684,77.147904
28.728729,77.146458
28.727889,77.145313
28.726834,77.143882
28.725549,77.142683
28.724071,77.141636
28.724097,77.141505
28.724274,77.141345
28.725003,77.140875
28.72593,77.140263
28.726181,77.140182
28.726345,77.14007
28.727015,77.139688
28.727864,77.139143
28.729022,77.138419
28.729468,77.138123
28.729616,77.137892
28.730205,77.137543
28.730552,77.13748
28.731222,77.137019
28.733241,77.135746
28.733606,77.135502
28.735038,77.134602
28.736149,77.133869
28.737929,77.132764
28.739347,77.13187
28.74027,77.131284
28.741647,77.130409
28.742564,77.129821
28.743542,77.129209
28.744406,77.128677
28.745511,77.127975
28.746192,77.127534
28.746673,77.127161
28.747396,77.126446
28.747941,77.125932
28.74848,77.125287
28.750426,77.122796
28.753134,77.119311
28.753722,77.118557
28.754866,77.117082
28.755637,77.116095
28.758416,77.112519
28.75941,77.111255
28.759738,77.110804
28.761984,77.108538
28.76362,77.106878
28.763788,77.107082
